"subjectid" "activity" "fbodyaccelerationjerkmagmean" "fbodyaccelerationjerkmagmeanfreq" "fbodyaccelerationjerkmagstd" "fbodyaccelerationjerkmeanfreqx" "fbodyaccelerationjerkmeanfreqy" "fbodyaccelerationjerkmeanfreqz" "fbodyaccelerationjerkmeanx" "fbodyaccelerationjerkmeany" "fbodyaccelerationjerkmeanz" "fbodyaccelerationjerkstdx" "fbodyaccelerationjerkstdy" "fbodyaccelerationjerkstdz" "fbodyaccelerationmagmean" "fbodyaccelerationmagmeanfreq" "fbodyaccelerationmagstd" "fbodyaccelerationmeanfreqx" "fbodyaccelerationmeanfreqy" "fbodyaccelerationmeanfreqz" "fbodyaccelerationmeanx" "fbodyaccelerationmeany" "fbodyaccelerationmeanz" "fbodyaccelerationstdx" "fbodyaccelerationstdy" "fbodyaccelerationstdz" "fbodygyrojerkmagmean" "fbodygyrojerkmagmeanfreq" "fbodygyrojerkmagstd" "fbodygyromagmean" "fbodygyromagmeanfreq" "fbodygyromagstd" "fbodygyromeanfreqx" "fbodygyromeanfreqy" "fbodygyromeanfreqz" "fbodygyromeanx" "fbodygyromeany" "fbodygyromeanz" "fbodygyrostdx" "fbodygyrostdy" "fbodygyrostdz" "tbodyaccelerationjerkmagmean" "tbodyaccelerationjerkmagstd" "tbodyaccelerationjerkmeanx" "tbodyaccelerationjerkmeany" "tbodyaccelerationjerkmeanz" "tbodyaccelerationjerkstdx" "tbodyaccelerationjerkstdy" "tbodyaccelerationjerkstdz" "tbodyaccelerationmagmean" "tbodyaccelerationmagstd" "tbodyaccelerationmeanx" "tbodyaccelerationmeany" "tbodyaccelerationmeanz" "tbodyaccelerationstdx" "tbodyaccelerationstdy" "tbodyaccelerationstdz" "tbodygyrojerkmagmean" "tbodygyrojerkmagstd" "tbodygyrojerkmeanx" "tbodygyrojerkmeany" "tbodygyrojerkmeanz" "tbodygyrojerkstdx" "tbodygyrojerkstdy" "tbodygyrojerkstdz" "tbodygyromagmean" "tbodygyromagstd" "tbodygyromeanx" "tbodygyromeany" "tbodygyromeanz" "tbodygyrostdx" "tbodygyrostdy" "tbodygyrostdz" "tgravityaccelerationmagmean" "tgravityaccelerationmagstd" "tgravityaccelerationmeanx" "tgravityaccelerationmeany" "tgravityaccelerationmeanz" "tgravityaccelerationstdx" "tgravityaccelerationstdy" "tgravityaccelerationstdz"
"11" 10 "laying" -0.38513889 0.14291154 -0.44736761 -0.10230242 -0.20683123 -0.046089358 -0.41205731 -0.46305824 -0.64568462 -0.41862702 -0.46668791 -0.72073657 -0.38868429 0.1382206 -0.53576039 -0.21059413 0.084378311 0.084612416 -0.39157845 -0.38496659 -0.55457303 -0.39341135 -0.42583273 -0.51176454 -0.71084927 0.14588335 -0.74139784 -0.57251309 -0.010238522 -0.57353883 -0.10060855 -0.1666496 -0.10703723 -0.52360125 -0.54522316 -0.45841381 -0.61202192 -0.42981582 -0.55678681 -0.46211064 -0.40909566 0.079463394 0.016939967 -0.016237273 -0.38813526 -0.44620605 -0.68333035 -0.35741974 -0.42418593 0.27697709 -0.017033298 -0.1108735 -0.39198632 -0.38567379 -0.498647 -0.66569102 -0.71491344 -0.11199396 -0.039779398 -0.057310958 -0.6325058 -0.70843189 -0.60744263 -0.38831451 -0.52260497 -0.015098665 -0.091743386 0.085228553 -0.58889324 -0.46535841 -0.49685879 -0.35741974 -0.42418593 0.74068496 -0.20716136 0.10841043 -0.96471012 -0.95504238 -0.9278017
"12" 10 "standing" -0.78326977 0.20465508 -0.77095059 0.11513852 -0.029541413 0.12947723 -0.8260636 -0.74495007 -0.87845019 -0.83137993 -0.74103834 -0.89968335 -0.78696168 0.24550907 -0.83415729 -0.043861528 0.11633453 0.28696588 -0.82250593 -0.72087654 -0.86232134 -0.84592274 -0.75138396 -0.86121795 -0.88519992 0.16945512 -0.88149624 -0.84502494 0.058129084 -0.85674592 0.0044151587 0.073750545 0.067411584 -0.81998375 -0.86105093 -0.79235754 -0.85895847 -0.84670737 -0.82984209 -0.81629272 -0.77734543 0.080527512 0.0046114398 -0.0012874462 -0.82070712 -0.73417467 -0.88973952 -0.80172867 -0.79524726 0.2765832 -0.01949093 -0.11218434 -0.83856434 -0.72785334 -0.85429497 -0.8763138 -0.88000788 -0.10022438 -0.047872362 -0.051924541 -0.84914001 -0.89282467 -0.85047535 -0.79717447 -0.83437787 -0.025522511 -0.069990392 0.10298477 -0.84924354 -0.85115607 -0.80703963 -0.80172867 -0.79524726 0.44123607 0.20056918 -0.054532045 -0.96807275 -0.95345506 -0.96119743
"13" 11 "walkingupstairs" -0.65613347 0.15836355 -0.67692508 -0.087425493 -0.2425726 -0.099229632 -0.67667299 -0.63237469 -0.82555959 -0.67219564 -0.609445 -0.85825963 -0.61152807 0.12725035 -0.67447016 -0.22436042 0.031855146 0.050278301 -0.61952403 -0.53145527 -0.75002615 -0.57949175 -0.50257024 -0.65209567 -0.86482701 0.11789211 -0.87925402 -0.75758594 -0.10978179 -0.71126722 -0.11187493 -0.18177803 -0.081095167 -0.70994933 -0.77685287 -0.70884298 -0.75175828 -0.67089271 -0.75596063 -0.6798195 -0.66424176 0.083013454 0.0078044254 -0.0065742498 -0.65932308 -0.60878423 -0.84251182 -0.54282503 -0.61288227 0.27658531 -0.019127253 -0.10894176 -0.5894765 -0.49037935 -0.66532431 -0.82682903 -0.86690501 -0.080547331 -0.049391407 -0.048014017 -0.78173814 -0.86837725 -0.79549088 -0.62836785 -0.69677138 -0.054732844 -0.058227577 0.08728411 -0.73992213 -0.70350177 -0.72501601 -0.54282503 -0.61288227 0.73052618 0.052738703 0.14020986 -0.97539446 -0.95713877 -0.956812
"14" 12 "laying" -0.56423919 0.12632361 -0.57161489 -0.046619864 -0.20469417 -0.09756402 -0.59910932 -0.59129642 -0.77542658 -0.60296006 -0.57916805 -0.808583 -0.55928368 0.075592658 -0.65053328 -0.18373822 0.044459842 0.068910987 -0.57892021 -0.52328708 -0.72664031 -0.58692258 -0.55307664 -0.70998324 -0.78990285 0.070587361 -0.79736146 -0.71731168 -0.045535717 -0.71943807 -0.08434983 -0.10730987 -0.064849392 -0.66124683 -0.74479815 -0.65736991 -0.75039386 -0.73345673 -0.70823315 -0.63005049 -0.56636568 0.070430311 0.0053115378 0.00030811237 -0.58241827 -0.57135982 -0.79262194 -0.55958655 -0.57438649 0.27360872 -0.018337204 -0.10664912 -0.58396221 -0.52204002 -0.69929353 -0.77729448 -0.78638653 -0.073113438 -0.043678823 -0.057458504 -0.70972615 -0.8112326 -0.74935186 -0.63166806 -0.68485806 -0.062866347 -0.059202733 0.096074215 -0.7278817 -0.73506283 -0.67105768 -0.55958655 -0.57438649 0.69922245 0.029976776 0.033029554 -0.96738343 -0.96057291 -0.94680856
"15" 13 "laying" -0.6072953 0.18286125 -0.61707547 -0.024196182 -0.23832855 -0.12060549 -0.66008217 -0.60334049 -0.71083173 -0.64960623 -0.56212987 -0.74482354 -0.58992811 0.084947568 -0.66534486 -0.22205665 -0.034831146 0.048726027 -0.63881791 -0.49346719 -0.62973626 -0.62060204 -0.46258446 -0.5990369 -0.71205437 0.15741746 -0.73318357 -0.65222531 0.062589181 -0.69191516 -0.11264547 -0.080613019 -0.0050503697 -0.65864242 -0.64715282 -0.62047123 -0.73465799 -0.65062356 -0.68577448 -0.62546694 -0.61024854 0.079439303 0.0038796195 -0.012348592 -0.63888953 -0.56970055 -0.72845297 -0.53987164 -0.59723098 0.27589588 -0.01765048 -0.10913529 -0.62484446 -0.4488161 -0.58723056 -0.71274504 -0.71205619 -0.088118238 -0.044083661 -0.058271875 -0.71577298 -0.71898859 -0.71271643 -0.5812154 -0.63636494 -0.056247062 -0.061661379 0.09886606 -0.71510986 -0.64572861 -0.64333729 -0.53987164 -0.59723098 0.70999652 -0.04208581 0.044301054 -0.96726806 -0.95354072 -0.93872788
"16" 14 "walkingupstairs" -0.59689631 0.13723955 -0.61921514 -0.14865734 -0.30535538 -0.23920068 -0.65438501 -0.59869953 -0.61871216 -0.66146036 -0.60215894 -0.694425 -0.49087418 -0.060068127 -0.54826993 -0.31917114 -0.15308351 -0.1078443 -0.61951327 -0.45523762 -0.44065067 -0.60940637 -0.37682999 -0.27501372 -0.7175901 0.090757952 -0.76056009 -0.54303053 -0.13854476 -0.5169305 -0.24134106 -0.34543476 -0.21281847 -0.6991664 -0.50463317 -0.42391821 -0.74005221 -0.34886419 -0.4076721 -0.60897342 -0.60514427 0.074175747 0.0044368272 -0.0025304469 -0.6419642 -0.58645962 -0.65685559 -0.45326262 -0.47405861 0.2701846 -0.016254818 -0.10098594 -0.61167112 -0.37473077 -0.29354271 -0.70052094 -0.72702301 -0.10755613 -0.043320049 -0.045069384 -0.78629173 -0.69791553 -0.63829906 -0.41645978 -0.47148671 0.00025367136 -0.095492115 0.060671245 -0.72866138 -0.39895936 -0.36447819 -0.45326262 -0.47405861 0.67208122 -0.11170139 -0.16117973 -0.94124571 -0.94237731 -0.91592785
"17" 15 "walkingupstairs" -0.61481761 0.15840422 -0.64310117 -0.049027357 -0.19740873 -0.073783447 -0.64346952 -0.60940806 -0.80554347 -0.63765516 -0.60585488 -0.84511106 -0.56294839 0.061427919 -0.62365562 -0.21863712 0.050508538 0.04245196 -0.58377232 -0.50773521 -0.74174572 -0.54715086 -0.50156844 -0.71143134 -0.83680189 0.095556423 -0.84963446 -0.73239449 -0.14968086 -0.69534684 -0.14325667 -0.22213747 -0.057976058 -0.66435443 -0.76071141 -0.71119454 -0.70933617 -0.68450474 -0.75169653 -0.65479969 -0.62566038 0.077689741 0.0048939205 -0.0044099319 -0.62405578 -0.59431268 -0.82582088 -0.52728535 -0.55714787 0.27821341 -0.016464485 -0.11256359 -0.55654117 -0.48167954 -0.70570662 -0.80528267 -0.83712008 -0.096091011 -0.044127069 -0.055564546 -0.73138271 -0.85395659 -0.7956262 -0.61772178 -0.67533696 -0.028127878 -0.075878846 0.090665852 -0.69685947 -0.70877907 -0.72182699 -0.52728535 -0.55714787 0.68887251 0.10266049 0.03728977 -0.9687334 -0.95636949 -0.94724006
"18" 16 "walkingupstairs" -0.71316761 0.22168363 -0.7298694 -0.031888911 -0.19451197 -0.17059244 -0.74466204 -0.748627 -0.75230217 -0.73477674 -0.7384344 -0.78208952 -0.66696251 0.055866821 -0.71268099 -0.23857046 -0.027643472 0.027823464 -0.70088515 -0.67157215 -0.66098995 -0.65696905 -0.66184453 -0.60564673 -0.87277228 0.15321124 -0.88653321 -0.81712882 -0.050122134 -0.80207822 -0.13789909 -0.15801841 -0.053894629 -0.78978015 -0.81596213 -0.75628664 -0.80499183 -0.80942145 -0.75699364 -0.72524687 -0.71964703 0.077548889 0.0088401833 -0.0014373001 -0.72786174 -0.7350802 -0.76787305 -0.61613112 -0.66171969 0.27788744 -0.015856789 -0.10726392 -0.6681615 -0.64994707 -0.6038199 -0.86044637 -0.87480017 -0.10736161 -0.041661567 -0.053947041 -0.85829872 -0.86957312 -0.83703993 -0.71816878 -0.78482287 -0.012234145 -0.07244448 0.073014465 -0.79953445 -0.81012413 -0.73762997 -0.61613112 -0.66171969 0.70090613 -0.060523599 0.040207554 -0.97115643 -0.96472752 -0.94529403
"19" 17 "walkingdownstairs" -0.67230275 0.19822988 -0.66692905 -0.1093103 -0.18471511 -0.18306263 -0.69294821 -0.66959874 -0.78644027 -0.64934872 -0.63516301 -0.80833305 -0.61677699 0.021289789 -0.66198008 -0.24385916 -0.0041264895 -0.005314498 -0.62246254 -0.56918043 -0.69605981 -0.55914296 -0.54259016 -0.62906552 -0.81508181 0.2210495 -0.82003237 -0.7509258 0.0077332308 -0.76519063 -0.081469553 -0.10422332 -0.041885933 -0.70670094 -0.75655422 -0.70446109 -0.75146835 -0.74230351 -0.72425985 -0.67107689 -0.66833156 0.081880267 0.0083599305 0.0031364022 -0.65596272 -0.64127947 -0.79805555 -0.53269025 -0.60606914 0.27384944 -0.017517849 -0.10894544 -0.57538447 -0.53172556 -0.63317444 -0.7947088 -0.81088249 -0.10851038 -0.038950352 -0.050513453 -0.77098232 -0.81167434 -0.7924126 -0.64991279 -0.73034042 -0.013719992 -0.084127533 0.076160547 -0.73950936 -0.74602935 -0.69788352 -0.53269025 -0.60606914 0.68101882 0.0020848594 0.0045796778 -0.96992577 -0.95659006 -0.94628015
"20" 17 "walkingupstairs" -0.99300595 0.42872792 -0.99263093 0.26382049 0.10816652 0.079331714 -0.99411706 -0.988821 -0.99059797 -0.9944594 -0.99041481 -0.99193578 -0.99000727 0.20202413 -0.98628791 -0.020942806 0.11549151 0.15801223 -0.99449632 -0.98236766 -0.98649577 -0.99525099 -0.97835156 -0.9787596 -0.99327833 0.37006459 -0.99348286 -0.98660756 -0.028430503 -0.98144607 -0.076815047 -0.1366451 0.080181894 -0.98599354 -0.98739225 -0.98866811 -0.98735472 -0.98380969 -0.98873292 -0.99324581 -0.99337502 0.075862697 0.010004081 -0.0023648437 -0.99401993 -0.98915812 -0.99200443 -0.98541897 -0.98682653 0.27613494 -0.0178193 -0.1121739 -0.99504124 -0.97941354 -0.98097648 -0.99430982 -0.99327695 -0.1001833 -0.04176229 -0.05477969 -0.99185414 -0.9933181 -0.99340031 -0.98329961 -0.98165697 -0.02575773 -0.066151284 0.087130975 -0.98697996 -0.98507317 -0.98793757 -0.98541897 -0.98682653 0.90839961 -0.19865987 -0.27819559 -0.99334945 -0.98476098 -0.98129168
